Name,FITS,HIcont,HIcont_p,Voxels,Image size,High/No,Split,Levels,T_RAM,P_RAM
HCG2,15.76,69466.0,1.6824873666914684,4128768.0,0.3243872094155487,29.951,1.0,2.4,1611.0087890625,1077.94921875
H07,55.006,323454.0,2.243416526100852,14417920.0,0.5037330248623176,190.608,1.0,2.4,3487.646484375,2687.41796875
HCG10,54.006,241475.0,1.705840781882957,14155776.0,0.8778635578057811,104.785,1.0,2.4,2725.6005859375,2053.5546875
HCG15,55.006,265109.0,1.838746504350142,14417920.0,0.725673217343874,124.592,1.0,2.4,2752.630859375,2063.28125
HCG16,63.007,352354.0,2.1335299052889387,16515072.0,0.3278038191305089,155.797,1.0,2.4,3220.669921875,2471.65234375
H19,63.007,300444.0,1.819210960751488,16515072.0,0.5164810787737611,149.592,1.0,2.4,3008.6669921875,2298.6640625
HCG22_0_0_0_0_0,279.006,434134.0,0.593580567281306,73138176.0,6.840398358853097,194.374,1.0,2.4,3605.720703125,2799.89453125
HCG23,108.572,742118.0,2.607655872266262,28459200.0,0.4168947282864851,257.402,2.0,2.4,4008.08984375,3030.44921875
HCG25,54.006,270719.0,1.9124278315791376,14155776.0,0.7255910583393707,121.805,1.0,2.4,2782.9443359375,2089.7421875
HCG26,63.009,343555.0,2.080251300145709,16515072.0,0.186772866649436,181.054,1.0,2.4,1571.6865234375,1513.53125
HCG30,56.006,245984.0,1.6756330217633928,14680064.0,0.7265244753812473,115.344,1.0,2.4,2112.1826171875,1939.6015625
HCG31,15.76,109052.0,2.6412721664186507,4128768.0,0.0201268451545716,44.793,1.0,2.4,1832.0263671875,1216.609375
HCG33,3.51,19809.0,2.1590096609933034,917504.0,0.0117758617437214,9.957,1.0,2.4,837.48828125,247.42578125
HCG37A,83.007,431719.0,1.984189504600433,21757952.0,0.8341031616414375,195.662,1.0,2.4,3579.0849609375,2762.53515625
HCG38,343.007,896544.0,0.997097360149417,89915392.0,1.3169415478121316,373.033,2.0,2.4,5146.4765625,3945.375
HCG40,14.507,84826.0,2.231624208647629,3801088.0,0.3224014424199641,45.823,1.0,2.4,1901.9501953125,1325.0390625
HCG47,514.006,2102528.0,1.5604100802529184,134742016.0,0.1865016489957651,958.579,4.0,2.4,297.0791015625,130.625
HCG48,56.006,244510.0,1.6655921936035156,14680064.0,0.8177896684162683,124.378,1.0,2.4,2811.939453125,2120.37890625
HCG49,15.76,99064.0,2.3993598090277777,4128768.0,0.4615995883855499,48.28,1.0,2.4,1884.521484375,1318.79296875
HCG54,63.009,338389.0,2.048970782567584,16515072.0,0.1934311675138082,182.403,1.0,2.4,3451.2744140625,2659.69140625
HCG56,682.007,2082386.0,1.1647613167413169,178782208.0,0.299417013794226,996.642,3.0,2.4,2691.14453125,2329.78515625
HCG57,513.007,2109441.0,1.5685923615394282,134479872.0,0.1952627762027333,1016.513,4.0,2.4,327.8955078125,144.84765625
HCG58,48.008,223852.0,1.7790158589680989,12582912.0,1.3081126288958351,103.135,1.0,2.4,2687.2802734375,2027.6015625
HCG59,392.006,1400347.0,1.3627295591393296,102760448.0,0.1857359588993385,549.197,3.0,2.4,306.75390625,134.234375
HCG61,343.007,2234456.0,2.485065070950255,89915392.0,0.2072807636137762,971.057,4.0,2.4,299.24609375,131.43359375
HCG62,513.007,2181637.0,1.6222777190031827,134479872.0,0.1838227951332423,1091.07,4.0,2.4,330.1728515625,144.2109375
N5350,63.007,204676.0,1.2393285357762895,16515072.0,1.677127371594321,94.263,1.0,2.4,2304.0986328125,1668.8671875
HCG71,511.007,2204811.0,1.6459269066379494,133955584.0,0.2005258347332508,941.013,4.0,2.4,300.3896484375,131.68359375
HCG79,63.504,357183.0,2.145971713641172,16644348.0,0.1951606528706524,187.983,1.0,2.4,3550.4072265625,2756.3359375
HCG88,14.01,96087.0,2.618162972586496,3670016.0,0.0453938849739199,47.959,1.0,2.4,1852.0986328125,1235.1171875
HCG90,7.759,46109.0,2.269572596396169,2031616.0,0.2133509300760925,22.573,1.0,2.4,946.6865234375,459.453125
HCG91,54.006,272917.0,1.9279550623010704,14155776.0,0.8232044861280452,137.743,1.0,2.4,2931.353515625,2234.203125
HCG92,57.008,340643.0,2.2797367029022757,14942208.0,0.218076437045273,147.905,1.0,2.4,3022.5234375,2301.41796875
HCG93,52.007,243784.0,1.7883887657752402,13631488.0,0.7651235916353831,113.576,1.0,2.4,2774.7119140625,2096.3671875
H95,12.011,72004.0,2.2889455159505205,3145728.0,0.0457704260058357,35.992,1.0,2.4,1696.890625,1153.421875
NGC7674,252.007,278859.0,0.4221280415852864,66060288.0,0.7345506671502007,152.849,1.0,2.4,3032.5615234375,2296.5078125
HCG97,53.006,250393.0,1.8022141366634727,13893632.0,0.7261873896052995,115.009,1.0,2.4,2706.9775390625,2026.6015625
